"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"STAL","873","606","267","8","4","4"
"STBN","873","606","267","303","226","77"
"STFA","873","606","267","614","403","211"
"STNI","873","606","267","16","12","4"
"STSP","873","606","267","44","43","1"
"STST","873","606","267","46","39","7"
"SUBU","873","606","267","562","410","152"
"SUCH","873","606","267","288","226","62"
"SUFR","873","606","267","14","13","1"
"SURG","873","606","267","16","8","8"
"SYBI","873","606","267","6","4","2"
"SYVA","873","606","267","5","3","2"
"TAME","873","606","267","4","3","1"
"THAM","873","606","267","228","154","74"
"THHA","873","606","267","11","7","4"
"THLU","873","606","267","688","445","243"
"THPU","873","606","267","15","12","3"
"THQU","873","606","267","661","463","198"
"THSP","873","606","267","6","5","1"
"THTR","873","606","267","11","10","1"
"TROB","873","606","267","61","42","19"
"TYCR","873","606","267","2","1","1"
"VALO","873","606","267","137","90","47"
"VAST","873","606","267","293","185","108"
"WRAS","873","606","267","85","33","52"
"XAAU","873","606","267","2","2","0"
"ZACO","873","606","267","373","283","90"
"ZEFL","873","606","267","331","220","111"
"ZESC","873","606","267","5","2","3"
"ZEVE","873","606","267","24","22","2"
