"GROUP","METHOD","GCF.PRES","GCF.PRES_2.5","GCF.PRES_95","GCF.POS","GCF.POS_2.5","GCF.POS_95","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"CHVI","1_nSPC","-0.2","-0.6466"," 0.2300","3.3","1.859","5.359","0.062","0.062","0.65","0.65","0.041","0.041"
"CHVI","2_BLT","-0.2","-0.6466"," 0.2300","3.3","1.859","5.359","0.061","0.074","1.38","0.42","0.085","0.031"
"CIFA","1_nSPC","0.24","-0.1021"," 0.5520","4.8","3.839","5.814","0.34","0.34","0.04","0.040","0.013","0.0133"
"CIFA","2_BLT","0.24","-0.1021"," 0.5520","4.8","3.839","5.814","0.31","0.27","0.14","0.029","0.044","0.0078"
"CIJO","1_nSPC","-1.6","-3.6144"," 0.5063","8717","2.950e-07","3.908e+02","0.0093","0.0093","0.17","0.16522","0.0015","1.5e-03"
"CIJO","2_BLT","-1.6","-3.6144"," 0.5063","8717","2.950e-07","3.908e+02","0.0312","0.1387","1.19","0.00014","0.0371","1.9e-05"
"CIPI","1_nSPC","0.4","0.0641","0.7324","3","2.348","3.837","0.22","0.22","0.24","0.24","0.054","0.054"
"CIPI","2_BLT","0.4","0.0641","0.7324","3","2.348","3.837","0.20","0.15","0.68","0.23","0.139","0.033"
"CIVA","1_nSPC","0.25","-0.01996"," 0.54610","3.1","2.441","3.940","0.23","0.23","0.010","0.0105","0.0024","0.0024"
"CIVA","2_BLT","0.25","-0.01996"," 0.54610","3.1","2.441","3.940","0.30","0.25","0.022","0.0071","0.0066","0.0018"
"COBA","1_nSPC","-1.4","-2.179","-0.681","3.7"," 0.8175","10.9017","0.107","0.107","0.44","0.44","0.048","0.048"
"COBA","2_BLT","-1.4","-2.179","-0.681","3.7"," 0.8175","10.9017","0.016","0.065","1.43","0.39","0.023","0.025"
"COFL","1_nSPC","-0.31","-0.58128","-0.01334","1.8","1.217","2.546","0.32","0.32","3.8","3.8","1.2","1.21"
"COFL","2_BLT","-0.31","-0.58128","-0.01334","1.8","1.217","2.546","0.25","0.31","4.5","2.5","1.1","0.78"
"COGA","1_nSPC","-0.72","-1.1937","-0.1888","2.1","1.025","3.848","0.110","0.11","0.20","0.20","0.022","0.022"
"COGA","2_BLT","-0.72","-1.1937","-0.1888","2.1","1.025","3.848","0.084","0.16","0.72","0.34","0.061","0.055"
"COVE","1_nSPC","-0.53","-0.8095","-0.2769","2.1","1.687","2.701","0.60","0.6","0.16","0.16","0.095","0.095"
"COVE","2_BLT","-0.53","-0.8095","-0.2769","2.1","1.687","2.701","0.47","0.6","0.42","0.20","0.196","0.117"
"CTHA","1_nSPC","-1.3","-2.8707"," 0.3151","7e+18","1.898e-10","3.273e+06","0.014","0.014","0.16","1.6e-01","0.0022","2.2e-03"
"CTHA","2_BLT","-1.3","-2.8707"," 0.3151","7e+18","1.898e-10","3.273e+06","0.003","0.011","0.35","5.1e-20","0.0011","5.4e-22"
"CTST","1_nSPC","0.75","0.4546","1.0466","5.8","4.699","7.124","0.56","0.56","0.49","0.49","0.27","0.27"
"CTST","2_BLT","0.75","0.4546","1.0466","5.8","4.699","7.124","0.71","0.53","3.18","0.55","2.25","0.29"
"DAAL","1_nSPC","-0.28","-0.55250","-0.02313","3","2.024","4.276","0.35","0.35","0.3","0.30","0.10","0.10"
"DAAL","2_BLT","-0.28","-0.55250","-0.02313","3","2.024","4.276","0.38","0.45","1.7","0.57","0.65","0.25"
"DEBA","1_nSPC","-0.33","-1.6522"," 1.0780","1.2","0.02993","6.03756","0.0112","0.0112","0.070","0.070","0.00079","0.00079"
"DEBA","2_BLT","-0.33","-1.6522"," 1.0780","1.2","0.02993","6.03756","0.0052","0.0072","0.051","0.043","0.00026","0.00031"
"DEMA","1_nSPC","-0.66","-1.26331","-0.01543","1.6","0.2213","5.2659","0.040","0.040","2.7","2.7","0.11","0.11"
"DEMA","2_BLT","-0.66","-1.26331","-0.01543","1.6","0.2213","5.2659","0.018","0.034","8.9","5.7","0.16","0.19"
"DIHO","1_nSPC","-0.27","-1.4211"," 1.0287","0.67","0.1703","1.7115","0.011","0.011","2.3","2.3","0.026","0.026"
"DIHO","2_BLT","-0.27","-1.4211"," 1.0287","0.67","0.1703","1.7115","0.033","0.042","1.7","2.6","0.056","0.108"
"DIHY","1_nSPC","-0.3","-1.3631"," 0.7534","1.9","0.6772","4.3857","0.0167","0.0167","2.2","2.2","0.037","0.0373"
"DIHY","2_BLT","-0.3","-1.3631"," 0.7534","1.9","0.6772","4.3857","0.0051","0.0068","2.6","1.4","0.013","0.0092"
"ELBI","1_nSPC","-1.1","-2.6442"," 0.4136","0.97","0.04718","5.13576","0.0233","0.023","16.0","16.0","0.374","0.374"
