"GROUP","METHOD","GCF.SOURCE","PRES.GCF","POS.GCF","PRES","PRES.CAL","POS","POS.CAL","OPUE","OPUE.CAL"
"CTST","1_nSPC","Global",2.67,0.19,0.2,0.2,0.04,0.04,0.01,0.01
"DAAL","1_nSPC","Global",2.67,0.19,0.12,0.12,0.01,0.01,0,0
"DAAR","1_nSPC","Global",2.67,0.19,0.04,0.04,0.08,0.08,0,0
"DAAU","1_nSPC","Global",2.67,0.19,0.26,0.26,0.02,0.02,0,0
"DAMS","1_nSPC","Global",2.67,0.19,0.02,0.02,0.03,0.03,0,0
"DARE","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"DATR","1_nSPC","Global",2.67,0.19,0.01,0.01,0.02,0.02,0,0
"DEMA","1_nSPC","Global",2.67,0.19,0.02,0.02,0.04,0.04,0,0
"DIHY","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"DIHY","2_TOW","Global",2.67,0.19,0,0.07,0,0,0,0
"DRAG","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"ECBC","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"ECMI","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"ECNA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"ECNA","2_TOW","Global",2.67,0.19,0,0,0,0,0,0
"ECNE","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"ELBI","1_nSPC","Global",2.67,0.19,0.1,0.1,0.03,0.03,0,0
"ELBI","2_TOW","Global",2.67,0.19,0.03,0.29,0.01,0.05,0,0.01
"EMPE","2_TOW","Global",2.67,0.19,0,0,0,0,0,0
"ENPA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"EPFA","1_nSPC","Global",2.67,0.19,0.11,0.11,0,0,0,0
"EPHE","1_nSPC","Global",2.67,0.19,0.03,0.03,0,0,0,0
"EPHO","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"EPIN","1_nSPC","Global",2.67,0.19,0.36,0.36,0,0,0,0
"EPLA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"EPLA","2_TOW","Global",2.67,0.19,0,0,0,0,0,0
"EPMA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"EPMC","1_nSPC","Global",2.67,0.19,0.03,0.03,0,0,0,0
"EPME","1_nSPC","Global",2.67,0.19,0.05,0.05,0,0,0,0
"EPML","1_nSPC","Global",2.67,0.19,0.06,0.06,0,0,0,0
"EPPO","1_nSPC","Global",2.67,0.19,0.07,0.07,0,0,0,0
"EPPO","2_TOW","Global",2.67,0.19,0,0.06,0,0,0,0
"EPRE","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"EPSL","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"EPSO","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"EPSP","1_nSPC","Global",2.67,0.19,0.06,0.06,0,0,0,0
"EPSP","2_TOW","Global",2.67,0.19,0,0.05,0,0,0,0
"EPTA","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"EPTA","2_TOW","Global",2.67,0.19,0,0.01,0,0,0,0
"EUAF","1_nSPC","Global",2.67,0.19,0.02,0.02,0.01,0.01,0,0
"EXBR","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"FICO","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"FICO","2_TOW","Global",2.67,0.19,0.04,0.38,0,0,0,0
"FILE","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"FISH","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"FOFL","1_nSPC","Global",2.67,0.19,0.33,0.33,0,0,0,0
"FOLO","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"FUSI","1_nSPC","Global",2.67,0.19,0,0,0.62,0.62,0,0
"GACU","2_TOW","Global",2.67,0.19,0,0,0,0,0,0
"GNAU","1_nSPC","Global",2.67,0.19,0.02,0.02,0.02,0.02,0,0
"GOAT","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"GOBI","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"GOVA","1_nSPC","Global",2.67,0.19,0.79,0.79,0.01,0.01,0.01,0.01
"GRAL","1_nSPC","Global",2.67,0.19,0.1,0.1,0,0,0,0
"GROU","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"GROU","2_TOW","Global",2.67,0.19,0,0.01,0,0,0,0
"GRSE","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"GYBR","1_nSPC","Global",2.67,0.19,0.05,0.05,0,0,0,0
"GYFL","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"GYJA","1_nSPC","Global",2.67,0.19,0.03,0.03,0,0,0,0
"GYME","1_nSPC","Global",2.67,0.19,0.03,0.03,0,0,0,0
"GYSP","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"GYUC","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"GYUN","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"HABI","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"HACH","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"HAHO","1_nSPC","Global",2.67,0.19,0.44,0.44,0,0,0,0
"HALF","1_nSPC","Global",2.67,0.19,0,0,0.14,0.14,0,0
"HAME","1_nSPC","Global",2.67,0.19,0.06,0.06,0,0,0,0
"HAMM","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"HAMM","2_TOW","Global",2.67,0.19,0,0,0,0,0,0
"HAMT","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"HAOR","1_nSPC","Global",2.67,0.19,0.52,0.52,0.01,0.01,0,0
"HASP","1_nSPC","Global",2.67,0.19,0.01,0.01,0.01,0.01,0,0
"HATR","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"HAWK","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"HEAC","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"HECA","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"HEFA","1_nSPC","Global",2.67,0.19,0.35,0.35,0,0,0,0
"HEMO","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"HEPO","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"HETH","1_nSPC","Global",2.67,0.19,0.1,0.1,0.03,0.03,0,0
"HEVA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"HILO","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"HILO","2_TOW","Global",2.67,0.19,0.01,0.09,0,0,0,0
"HOAN","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"HODO","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"INAN","1_nSPC","Global",2.67,0.19,0.03,0.03,0,0,0,0
"JACK","2_TOW","Global",2.67,0.19,0,0,0,0.02,0,0
"KAPE","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"KYCI","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"KYPA","1_nSPC","Global",2.67,0.19,0,0,0.01,0.01,0,0
"LABI","1_nSPC","Global",2.67,0.19,0.27,0.27,0,0,0,0
"LADI","1_nSPC","Global",2.67,0.19,0.5,0.5,0,0,0,0
"LAPE","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"LAPH","1_nSPC","Global",2.67,0.19,0.08,0.08,0,0,0,0
"LARU","1_nSPC","Global",2.67,0.19,0.4,0.4,0,0,0,0
"LAUN","1_nSPC","Global",2.67,0.19,0.05,0.05,0,0,0,0
"LAXA","1_nSPC","Global",2.67,0.19,0.06,0.06,0,0,0,0
"LEHA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"LEOB","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"LEOL","1_nSPC","Global",2.67,0.19,0.03,0.03,0,0,0,0
"LEOL","2_TOW","Global",2.67,0.19,0.01,0.1,0,0,0,0
"LERU","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"LETA","1_nSPC","Global",2.67,0.19,0.12,0.12,1.12,1.12,0.14,0.14
"LETH","1_nSPC","Global",2.67,0.19,0.06,0.06,0,0,0,0
"LETH","2_TOW","Global",2.67,0.19,0,0,0,0,0,0
"LEXA","1_nSPC","Global",2.67,0.19,0.04,0.04,0,0,0,0
"LEXA","2_TOW","Global",2.67,0.19,0,0,0,0,0,0
"LIZA","1_nSPC","Global",2.67,0.19,0.02,0.02,0,0,0,0
"LUBO","1_nSPC","Global",2.67,0.19,0.61,0.61,0.01,0.01,0.01,0.01
"LUBO","2_TOW","Global",2.67,0.19,0.48,0.93,0,0.01,0,0.01
"LUFU","1_nSPC","Global",2.67,0.19,0.1,0.1,0,0,0,0
"LUGI","1_nSPC","Global",2.67,0.19,0.29,0.29,0.01,0.01,0,0
"LUGI","2_TOW","Global",2.67,0.19,0,0.03,0,0,0,0
"LUKA","1_nSPC","Global",2.67,0.19,0.02,0.02,0.01,0.01,0,0
"LUMO","1_nSPC","Global",2.67,0.19,0.08,0.08,0,0,0,0
"LUMO","2_TOW","Global",2.67,0.19,0,0,0,0,0,0
"LUSE","1_nSPC","Global",2.67,0.19,0.01,0.01,0,0,0,0
"LUWH","1_nSPC","Global",2.67,0.19,0.12,0.12,3.28,3.28,0.4,0.4
"MABR","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"MACO","2_TOW","Global",2.67,0.19,0,0.01,0,0,0,0
"MAGE","1_nSPC","Global",2.67,0.19,0.01,0.01,0.01,0.01,0,0
"MALA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"MAMA","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"MAMA","2_TOW","Global",2.67,0.19,0,0,0,0.01,0,0
"MAME","1_nSPC","Global",2.67,0.19,0.18,0.18,0,0,0,0
"MANI","1_nSPC","Global",2.67,0.19,0,0,0.01,0.01,0,0
"MANI","2_TOW","Global",2.67,0.19,0.01,0.1,0,0.01,0,0
"MEAT","1_nSPC","Global",2.67,0.19,0,0,0,0,0,0
"MENI","1_nSPC","Global",2.67,0.19,0.55,0.55,0.02,0.02,0.01,0.01
"MEVI","1_nSPC","Global",2.67,0.19,0.69,0.69,0.01,0.01,0,0
"MOGR","1_nSPC","Global",2.67,0.19,0.3,0.3,0,0,0,0
"MOGR","2_TOW","Global",2.67,0.19,0.01,0.07,0,0,0,0
"MOSE","1_nSPC","Global",2.67,0.19,0,0,0.14,0.14,0,0
"MOSP","1_nSPC","Global",2.67,0.19,0.03,0.03,0,0,0,0
"MOSP","2_TOW","Global",2.67,0.19,0.03,0.3,0,0,0,0
"MUFL","1_nSPC","Global",2.67,0.19,0.05,0.05,0.01,0.01,0,0
