"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"SUCH","1432","1161","271","136","119","17"
"SURG","1432","1161","271","110","64","46"
"SYBI","1432","1161","271","3","1","2"
"SYVA","1432","1161","271","6","5","1"
"THAL","1432","1161","271","4","2","2"
"THAM","1432","1161","271","274","248","26"
"THHA","1432","1161","271","152","125","27"
"THLU","1432","1161","271","424","321","103"
"THPU","1432","1161","271","57","54","3"
"THQU","1432","1161","271","935","767","168"
"THSP","1432","1161","271","5","4","1"
"THTR","1432","1161","271","46","45","1"
"TRBA","1432","1161","271","3","2","1"
"TROB","1432","1161","271","57","53","4"
"VALO","1432","1161","271","180","151","29"
"VAST","1432","1161","271","155","123","32"
"WRAS","1432","1161","271","134","57","77"
"XAAU","1432","1161","271","19","12","7"
"ZACO","1432","1161","271","455","423","32"
"ZERO","1432","1161","271","69","54","15"
"ZESC","1432","1161","271","522","437","85"
"ZEVE","1432","1161","271","331","300","31"
